Code,Copert_V_name,EFbase
PCB_13,Passenger Cars_LPG Bifuel ~ Petrol_Medium_Euro 2,0.0075
PCLPG_14,Passenger Cars_LPG Bifuel ~ LPG_Medium_Euro 3,0.0075
PCB_14,Passenger Cars_LPG Bifuel ~ Petrol_Medium_Euro 3,0.0075
PCLPG_15,Passenger Cars_LPG Bifuel ~ LPG_Medium_Euro 4,0.0075
PCB_15,Passenger Cars_LPG Bifuel ~ Petrol_Medium_Euro 4,0.0075
PCLPG_16,Passenger Cars_LPG Bifuel ~ LPG_Medium_Euro 5,0.0075
PCB_16,Passenger Cars_LPG Bifuel ~ Petrol_Medium_Euro 5,0.0075
PCLPG_17,Passenger Cars_LPG Bifuel ~ LPG_Medium_Euro 6,0.0075
PCB_17,Passenger Cars_LPG Bifuel ~ Petrol_Medium_Euro 6,0.0075
PCLPG_18,Passenger Cars_LPG Bifuel ~ LPG_Large-SUV-Executive_Conventional,0.0075
PCB_18,Passenger Cars_LPG Bifuel ~ Petrol_Large-SUV-Executive_Conventional,0.0075
PCLPG_19,Passenger Cars_LPG Bifuel ~ LPG_Large-SUV-Executive_Euro 1,0.0075
PCB_19,Passenger Cars_LPG Bifuel ~ Petrol_Large-SUV-Executive_Euro 1,0.0075
PCLPG_20,Passenger Cars_LPG Bifuel ~ LPG_Large-SUV-Executive_Euro 2,0.0075
PCB_20,Passenger Cars_LPG Bifuel ~ Petrol_Large-SUV-Executive_Euro 2,0.0075
PCLPG_21,Passenger Cars_LPG Bifuel ~ LPG_Large-SUV-Executive_Euro 3,0.0075
PCB_21,Passenger Cars_LPG Bifuel ~ Petrol_Large-SUV-Executive_Euro 3,0.0075
PCLPG_22,Passenger Cars_LPG Bifuel ~ LPG_Large-SUV-Executive_Euro 4,0.0075
PCB_22,Passenger Cars_LPG Bifuel ~ Petrol_Large-SUV-Executive_Euro 4,0.0075
PCLPG_23,Passenger Cars_LPG Bifuel ~ LPG_Large-SUV-Executive_Euro 5,0.0075
PCB_23,Passenger Cars_LPG Bifuel ~ Petrol_Large-SUV-Executive_Euro 5,0.0075
PCLPG_24,Passenger Cars_LPG Bifuel ~ LPG_Large-SUV-Executive_Euro 6,0.0075
PCB_24,Passenger Cars_LPG Bifuel ~ Petrol_Large-SUV-Executive_Euro 6,0.0075
PCCNG_1,Passenger Cars_CNG Bifuel ~ CNG_Mini_Euro 4,0.0075
PCB_25,Passenger Cars_CNG Bifuel ~ Petrol_Mini_Euro 4,0.0075
PCCNG_2,Passenger Cars_CNG Bifuel ~ CNG_Mini_Euro 5,0.0075
PCB_26,Passenger Cars_CNG Bifuel ~ Petrol_Mini_Euro 5,0.0075
PCCNG_3,Passenger Cars_CNG Bifuel ~ CNG_Mini_Euro 6,0.0075
PCB_27,Passenger Cars_CNG Bifuel ~ Petrol_Mini_Euro 6,0.0075
PCCNG_4,Passenger Cars_CNG Bifuel ~ CNG_Small_Euro 4,0.0075
PCB_28,Passenger Cars_CNG Bifuel ~ Petrol_Small_Euro 4,0.0075
PCCNG_5,Passenger Cars_CNG Bifuel ~ CNG_Small_Euro 5,0.0075
PCB_29,Passenger Cars_CNG Bifuel ~ Petrol_Small_Euro 5,0.0075
PCCNG_6,Passenger Cars_CNG Bifuel ~ CNG_Small_Euro 6,0.0075
PCB_30,Passenger Cars_CNG Bifuel ~ Petrol_Small_Euro 6,0.0075
PCCNG_7,Passenger Cars_CNG Bifuel ~ CNG_Medium_Euro 4,0.0075
PCB_31,Passenger Cars_CNG Bifuel ~ Petrol_Medium_Euro 4,0.0075
PCCNG_8,Passenger Cars_CNG Bifuel ~ CNG_Medium_Euro 5,0.0075
PCB_32,Passenger Cars_CNG Bifuel ~ Petrol_Medium_Euro 5,0.0075
