,Link_ID,FID,length
346,959,6427,0.06481883328741367
347,967,6427,0.022651827984696858
348,969,6427,0.008595890022166774
349,976,6427,0.0926124860868073
350,977,6427,0.04898245778461484
351,979,6427,0.04850078210865895
352,981,6427,0.0223839731862023
353,982,6427,0.005066175207717459
354,983,6427,0.045331414181046484
355,991,6427,0.03618425399680668
356,1025,6427,0.021477820060998475
357,1029,6427,0.04143207028306252
358,1030,6427,0.014407407346595194
359,1037,6427,0.13829897260917853
360,1039,6427,0.04048489326261554
361,1043,6427,0.03147649522108474
362,1044,6427,0.02302201044475839
363,1046,6427,0.18685693920927895
364,1050,6427,0.03220612545665855
365,1054,6427,0.1873068225022793
366,1055,6427,0.010853842559965538
367,1057,6427,0.00864575302766497
368,1058,6427,0.18008240178660131
369,1059,6427,0.05090371492262053
370,1060,6427,0.019934558006090487
371,1061,6427,0.15143170650543197
372,1062,6427,0.024967347661406243
373,1063,6427,0.005353121505759358
374,1064,6427,0.1731311082787561
375,1065,6427,0.045405908800537374
376,1068,6427,0.034769733656013324
377,1069,6427,0.05956876925667084
378,1072,6427,0.006483824102896303
379,1078,6427,0.04358088186547448
380,1081,6427,0.012818729352861767
381,1082,6427,0.06249153873659272
382,1084,6427,0.009619710567019943
383,1085,6427,0.015242161057106587
384,1086,6427,0.01569918644517518
385,1087,6427,0.0631590569627852
386,1088,6427,0.06667529634488209
387,1095,6427,0.05512173305026984
388,1110,6427,0.009569685933685498
389,1111,6427,0.005630356898302015
390,1121,6427,0.05265747810238194
391,1122,6427,0.12967727823457728
392,1123,6427,0.01808387275058709
393,1126,6427,0.1253321195602553
394,1130,6427,0.03624925466109857
395,1131,6427,0.005274220246620539
396,1132,6427,0.023528642439449788
397,1133,6427,0.015424843155705685
398,1135,6427,0.0072570556135784165
399,1136,6427,0.06283693957957256
400,1142,6427,0.013347038327803411
401,1143,6427,0.012622702205483758
402,1145,6427,0.13315304198274971
403,1150,6427,0.15060269088570855
404,1151,6427,0.04000020296150226
405,1153,6427,0.449928790720655
406,1164,6427,0.06546188291299684
407,1165,6427,0.05306344144811527
408,1168,6427,0.028249110364699754
409,1171,6427,0.008552696840681544
410,1172,6427,0.011379514217077877
411,1173,6427,0.1055590618441661
412,1178,6427,0.034426460645523446
413,1186,6427,0.0175906475170162
414,1188,6427,0.06295616308443587
415,1189,6427,0.017480278075370177
416,1190,6427,0.13147693089770368
417,1202,6427,0.017198353293395995
418,1206,6427,0.031205992553885075
419,1207,6427,0.012808396269005765
420,1208,6427,0.06563746468001959
421,1212,6427,0.0442713256334354
422,1224,6427,0.01589007531650611
423,1225,6427,0.011860960098690069
424,1232,6427,0.011607247099747933
425,1233,6427,0.026642434360727166
426,1242,6427,0.15955381036311053
427,1244,6427,0.16771504465338216
428,1245,6427,0.011095327597959954
429,1246,6427,0.021916191899183257
430,1247,6427,0.03474030710944929
431,1253,6427,0.16671734535852145
432,1254,6427,0.1433431603171716
433,1255,6427,0.022477593847982928
434,1277,6427,0.0947203859670928
435,1278,6427,0.22423781980979549
436,1281,6427,0.028454629058785322
437,1296,6427,0.0309410625867709
438,1297,6427,0.09184642184030689
439,1298,6427,0.011290446816435365
440,1299,6427,0.033094290076920545
441,1300,6427,0.022998209246307858
442,1301,6427,0.0378870889704165
443,1302,6427,0.006025163287451164
444,1320,6427,0.013029505851508187
445,1324,6427,0.015207877271870158
446,1325,6427,0.009562482757560511
447,1326,6427,0.07891287136031372
448,1327,6427,0.026785169716645945
449,1328,6427,0.009719530302001464
450,1333,6427,0.033022625447230856
451,1335,6427,0.03885442757588532
452,1337,6427,0.020522587120030113
453,1338,6427,0.00863253494677253
454,1339,6427,0.013291995239215823
455,1341,6427,0.007452683483104732
456,1342,6427,0.007714105007128857
457,1343,6427,0.007929636893818048
458,1354,6427,0.09680187508780719
459,1355,6427,0.09413574731318582
460,1356,6427,0.15659983857701942
461,1357,6427,0.08426623548829286
462,1358,6427,0.04017853113504738
463,1359,6427,0.13905461443070272
464,1360,6427,0.014864239472511791
465,1361,6427,0.1065363875696017
466,1362,6427,0.028843521264992535
467,1363,6427,0.04238077578656279
468,1364,6427,0.14400004971870575
469,1365,6427,0.02573522913538869
470,1366,6427,0.05394149610089195
471,1367,6427,0.041941247776933706
472,1368,6427,0.03307536572788529
473,1401,6427,0.013121488126767646
474,1405,6427,0.02071522322395415
475,1409,6427,0.009218925743267638
476,1410,6427,0.04170610024051886
477,1413,6427,0.02611961734689065
478,1416,6427,0.022023027653967735
479,1435,6427,0.02203452793077756
480,1437,6427,0.024401515940583055
481,1454,6427,0.021012743447912766
482,1455,6427,0.015965051887348074
483,1472,6427,0.015566440505379685
484,1474,6427,0.017154162474095763
485,1475,6427,0.06030277341813613
486,1477,6427,0.02421001007806606
487,1502,6427,0.010276449558122536
488,1503,6427,0.02607947450846324
489,1510,6427,0.010986890899422196
490,1511,6427,0.017647724253746923
491,1514,6427,0.013998445791568542
492,1515,6427,0.01334861207962608
493,1518,6427,0.031674047023806426
494,1521,6427,0.48844087982451273
495,1522,6427,0.06541416636661979
496,1530,6427,0.05187709694102906
497,1531,6427,0.010511858206516766
498,1532,6427,0.05679479604952607
499,1535,6427,0.009455990750894398
500,1536,6427,0.05920744495004141
501,1537,6427,0.011366920697289742
502,1540,6427,0.010567933199487742
503,1542,6427,0.014649935635299002
504,1544,6427,0.006640856642903705
505,1545,6427,0.016317078775646917
506,1548,6427,0.014589160503710676
507,1558,6427,0.003866485030760515
508,1561,6427,0.015471013932398893
