"P_hour","operation","day_type","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"LEBL","departure","weekday",0.00965009650096501,0.002810028100281,0.004820048200482,0.004020040200402,0.00523005230052301,0.004020040200402,0.048630486304863,0.0635006350063501,0.045020450204502,0.0655106551065511,0.0602906029060291,0.0530505305053051,0.0639106391063911,0.055470554705547,0.0598905989059891,0.0606906069060691,0.0534605346053461,0.0542605426054261,0.0582805828058281,0.0570705707057071,0.0691306913069131,0.04220042200422,0.038180381803818,0.02090020900209
"LEBZ","arrival","weekend",0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0.111111111111111,0,0,0,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0.111111111111111,0
"LEBZ","arrival","weekday",0,0,0,0,0,0,0,0,0,0.0555594444055559,0.027779722202778,0,0,0.027779722202778,0.111108888911111,0.166668333316667,0,0.166668333316667,0.027779722202778,0.138888611113889,0.0833291667083329,0.194438055619444,0,0
"LEBZ","departure","weekend",0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0.1,0,0.2,0,0.2,0.2,0,0,0,0,0
"LEBZ","departure","weekday",0,0,0,0,0,0,0,0,0.294122941229412,0.0588205882058821,0.029410294102941,0.029410294102941,0,0,0,0.176471764717647,0.0882408824088241,0.0588205882058821,0.205882058820588,0.0588205882058821,0,0,0,0
"LECO","arrival","weekend",0,0,0,0,0,0,0,0,0.08108,0,0.08108,0.05405,0.08108,0.02703,0.08108,0.02703,0.05405,0.02703,0.05405,0.08108,0.10811,0.10811,0.10811,0.02703
"LECO","arrival","weekday",0.0202704054081082,0.00676013520270405,0,0,0,0,0,0,0.0405408108162163,0.0405408108162163,0.114862297245945,0.0135102702054041,0.135142702854057,0.0405408108162163,0.114862297245945,0.0608112162243245,0.0202704054081082,0.0337806756135123,0.0473009460189204,0.0743214864297286,0.0743214864297286,0.0540510810216204,0.101352027040541,0.00676013520270405
"LECO","departure","weekend",0,0,0,0,0,0,0.0285708571257138,0.0285708571257138,0.0285708571257138,0.171435143054292,0.0571417142514275,0.114293428802864,0,0.0857125713771413,0.0571417142514275,0.0285708571257138,0.0571417142514275,0.0285708571257138,0.0571417142514275,0.0571417142514275,0.0857125713771413,0.0857125713771413,0.0285708571257138,0
"LECO","departure","weekday",0,0,0,0,0,0,0.0608106081060811,0.040540405404054,0.040540405404054,0.141891418914189,0.020270202702027,0.0878408784087841,0.0473004730047301,0.128381283812838,0.033780337803378,0.0540505405054051,0.0608106081060811,0.0540505405054051,0.0473004730047301,0.027030270302703,0.0945909459094591,0.013510135101351,0.040540405404054,0.00676006760067601
"LECU","arrival","weekend",0,0,0,0,0,0,0,0,0,0.01351,0.08784,0.14865,0.10811,0.10811,0.13514,0.06081,0.07432,0.02703,0.06081,0.05405,0.07432,0.0473,0,0
"LECU","arrival","weekday",0,0,0,0,0,0,0,0,0.00389007780155603,0.0214004280085602,0.130352607052141,0.0603112062241245,0.103112062241245,0.0700414008280166,0.120622412448249,0.0466909338186764,0.0505810116202324,0.0642012840256805,0.0778215564311286,0.0817116342326847,0.0972819456389128,0.0719814396287926,0,0
"LECU","departure","weekend",0,0,0,0,0,0,0,0,0,0.182431824318243,0.121621216212162,0.162161621616216,0.114861148611486,0.108111081110811,0.027030270302703,0.04730047300473,0.033780337803378,0.0675706757067571,0.040540405404054,0.0540505405054051,0.040540405404054,0,0,0
"LECU","departure","weekday",0,0,0,0,0,0,0,0.00781,0.01367,0.17773,0.06641,0.10156,0.06445,0.10156,0.04102,0.05664,0.07227,0.0625,0.10742,0.07813,0.04492,0.00391,0,0
"LEGE","arrival","weekend",0,0.00641025641025641,0.0128205128205128,0.00641025641025641,0.00641025641025641,0,0,0.0320512820512821,0.0256410256410256,0.0448717948717949,0.0384615384615385,0.0641025641025641,0.0961538461538462,0.0384615384615385,0.0512820512820513,0.0320512820512821,0.0833333333333333,0.0576923076923077,0.0576923076923077,0.0576923076923077,0.0320512820512821,0.102564102564103,0.0833333333333333,0.0705128205128205
