engine_id,co,hc,nox_no2,fuel,pm10,pm25,co2,so2
8GE114,0.0002432,3.2e-05,0.009766,0.64,3.717e-05,3.717e-05,2.016,0.00032
8IA009,0.0005456,3.52e-05,0.01962,0.88,0.0002073,0.0002073,2.772,0.00044
8IA010,0.0005456,3.52e-05,0.01962,0.88,0.0002073,0.0002073,2.772,0.00044
8PW085,0.0008924,0.0002028,0.01136,0.8113,0.0001204,0.0001204,2.555595,0.00040565
8PW086,1.764e-07,0.0001764,0.04886,1.764,0.0001743,0.0001743,5.5566,0.000882
8PW087,1.789e-07,0.0001789,0.05099,1.789,0.000182,0.000182,5.63535,0.0008945
8PW088,1.789e-07,0.0001789,0.05099,1.789,0.000182,0.000182,5.63535,0.0008945
8PW089,0.0002689,0.0002689,0.09546,2.689,0.0002044,0.0002044,8.47035,0.0013445
8RR043,0.001496,0.0009583,0.01392,0.726,0.0001084,0.0001084,2.2869,0.000363
8RR044,0.0007612,1.73e-05,0.0536,1.73,0.0001141,0.0001141,5.4495,0.000865
8RR045,0.0006954,1.83e-05,0.06085,1.83,0.0001209,0.0001209,5.7645,0.000915
8RR046,0.00044,2.2e-07,0.06402,2.2,0.0001494,0.0001494,6.93,0.0011
9EA001,0.0001952,6.507e-05,0.06804,2.169,0.0001435,0.0001435,6.83235,0.0010845
9GE124,0.0007299,6.843e-05,0.07397,2.281,0.0001219,0.0001219,7.18515,0.0011405
9GE125,0.0007389,6.927e-05,0.07569,2.309,0.0001234,0.0001234,7.27335,0.0011545
9GE126,0.0007914,7.659e-05,0.0928,2.553,0.0001358,0.0001358,8.04195,0.0012765
9GE127,0.0008479,8.205e-05,0.1069,2.735,0.0001462,0.0001462,8.61525,0.0013675
9GE128,0.0008776,8.493e-05,0.115,2.831,0.0001531,0.0001531,8.91765,0.0014155
9PW092,0.0003806,2.239e-07,0.04695,2.239,0.0001566,0.0001566,7.05285,0.0011195
9PW093,0.0004316,2.398e-07,0.0535,2.398,0.0001726,0.0001726,7.5537,0.001199
9PW094,0.0004316,2.398e-07,0.0535,2.398,0.0001726,0.0001726,7.5537,0.001199
9PW095,0.000441,2.45e-07,0.05596,2.45,0.0001776,0.0001776,7.7175,0.001225
9RR047,0.000669,2.23e-07,0.06601,2.23,0.0001526,0.0001526,7.0245,0.001115
FOCA-1,0.006839,7.369e-05,4.312e-05,0.0077,5.39e-07,5.39e-07,0.024255,3.85e-06
FOCA-2,0.01384,0.0001766,1.579e-05,0.0106,2.12e-06,2.12e-06,0.03339,5.3e-06
FOCA-3,0.01447,0.0002072,4.44e-05,0.0148,1.036e-06,1.036e-06,0.04662,7.4e-06
