engine_id,co,hc,nox_no2,fuel,pm10,pm25,co2,so2
9GE126,0.001737,4.824e-05,0.01188,0.804,4.726e-05,4.726e-05,2.5326,0.000402
9GE127,0.001602,5.112e-05,0.01315,0.852,4.845e-05,4.845e-05,2.6838,0.000426
9GE128,0.001524,5.256e-05,0.01385,0.876,4.957e-05,4.957e-05,2.7594,0.000438
9PW092,0.001201,4.65e-05,0.009378,0.775,4.104e-05,4.104e-05,2.44125,0.0003875
9PW093,0.001031,4.09e-05,0.01014,0.818,4.286e-05,4.286e-05,2.5767,0.000409
9PW094,0.001031,4.09e-05,0.01014,0.818,4.286e-05,4.286e-05,2.5767,0.000409
9PW095,0.0009746,4.165e-05,0.0104,0.833,4.364e-05,4.364e-05,2.62395,0.0004165
9RR047,0.00105,7.5e-07,0.00885,0.75,4.781e-05,4.781e-05,2.3625,0.000375
FOCA-1,0.004438,5.739e-05,1.598e-05,0.0047,1.88e-07,1.88e-07,0.014805,2.35e-06
FOCA-2,0.008461,0.0001279,6.758e-06,0.0062,3.1e-06,3.1e-06,0.01953,3.1e-06
FOCA-3,0.006061,0.0001206,4.44e-05,0.0074,2.96e-07,2.96e-07,0.02331,3.7e-06
FOCA-4,0.01043,0.0001129,2.646e-05,0.0098,3.92e-07,3.92e-07,0.03087,4.9e-06
FOCA-5,0.003801,0.0001063,3.648e-06,0.0032,1.28e-07,1.28e-07,0.01008,1.6e-06
FOCA-6,0.003339,6.571e-05,9.331e-05,0.0048,1.92e-07,1.92e-07,0.01512,2.4e-06
FOCA-7,0.005848,8.861e-05,1.615e-05,0.0054,2.16e-07,2.16e-07,0.01701,2.7e-06
FOCA-8,0.009405,0.0003366,6.6e-09,0.0066,2.64e-07,2.64e-07,0.02079,3.3e-06
FOCA-9,0.02776,0.0002833,0.0003001,0.022,2.2e-06,2.2e-06,0.0693,1.1e-05
FOCA-10,0.007207,0.0001136,5.605e-06,0.0059,2.36e-07,2.36e-07,0.018585,2.95e-06
FOCA-11,0.007662,8.709e-05,2.903e-05,0.0077,3.08e-06,3.08e-06,0.024255,3.85e-06
FOCA-12,0.01577,0.0001673,1.738e-05,0.0125,5e-06,5e-06,0.039375,6.25e-06
FOCA-13,0.001285,0.0007696,1.6e-06,0.0016,1.6e-06,1.6e-06,0.00504,8e-07
FOCA-14,0.001025,2.297e-05,2.57e-05,0.0018,1.8e-09,1.8e-09,0.00567,9e-07
FOCA-15,0.002153,5.55e-05,1.461e-05,0.0023,2.3e-09,2.3e-09,0.007245,1.15e-06
FOCA-16,0.00225,4.64e-05,4.06e-05,0.0029,2.9e-09,2.9e-09,0.009135,1.45e-06
FOCA-17,4.015e-05,8.225e-06,6.74e-05,0.0025,1e-07,1e-07,0.007875,1.25e-06
FOCA-18,0.01577,0.0001673,1.738e-05,0.0125,5e-07,5e-07,0.039375,6.25e-06
FOCA-19,0.007662,8.709e-05,2.903e-05,0.0077,3.08e-07,3.08e-07,0.024255,3.85e-06
FOCA-20,0.01819,0.0001694,1.638e-05,0.014,5.6e-07,5.6e-07,0.0441,7e-06
PW127E,0.000343771746694502,5.56881463802705e-06,0.000601948503827418,0.0675017397355602,6.75017397355602e-07,6.75017397355602e-07,0.212630480167015,3.37508698677801e-05
PW127F,0.000279379157427938,5.56881463802705e-06,0.000729859571322986,0.0731707317073171,7.31707317073171e-07,7.31707317073171e-07,0.230487804878049,3.65853658536585e-05
PT6A65B ,0.000911253280839895,0.000166174540682415,0.000185367454068241,0.0408464566929134,4.08464566929134e-07,4.08464566929134e-07,0.128666338582677,2.04232283464567e-05
AE2100A ,0.000392203659506762,5.56881463802705e-06,0.00215833333333333,0.105011933174224,1.05011933174224e-06,1.05011933174224e-06,0.330787589498807,5.25059665871122e-05
CT75A2,0.000180436337625179,0.000119814020028612,0.000325464949928469,0.0486409155937053,4.86409155937053e-07,4.86409155937053e-07,0.153218884120172,2.43204577968526e-05
PW150A,0.00060973207249803,0.000203506698187549,0.00102442868400315,0.118203309692671,1.18203309692671e-06,1.18203309692671e-06,0.372340425531915,5.91016548463357e-05
AI24VT,0.00422421875,0.00123932291666667,0.000104166666666667,0.103385416666667,1.03385416666667e-06,1.03385416666667e-06,0.3256640625,5.16927083333333e-05
